English,Tunisian
Good morning. Please back up to bay number three.,Tunisian: صباح الخير. برّجولك ارجع للّور للباي نمرة ثلاثة.
"Hello, I was told that the project on my land will involve large wind turbines. How do we know if the ground can support them?",عسلامة، قالولي اللي الprojet على أرضي باش يكون فيه éoliennes كبار. كيفاش نتاكّدو اللي الأرض تنجم تشدّهم؟
A valid concern. Our initial tests show a mix of clay and marl. We need to perform deep borings to confirm the soil's strength and ensure it can handle the heavy turbine foundations without settling.,تخوّف وجيه. التستّات الأولانية متاعنا تورّي خلطة طين و مارن. يلزمنا نعملو سونداجات عميقة باش نتأكدو من مقاومة التربة ونضمنو اللي تنجم تستحمل القواعد الثقيلة متاع التوربينات من غير هبوط.
"So, you can guarantee they won't shift over time?",دونك، تنجم تضمنلي اللي ما يزيحوش مع الوقت؟
We will design the foundations based on our findings to ensure long-term stability and safety.,باش نصمّمو الفونداسيون على ضوّ النتائج اللي خرجنا بيها، باش نضمنو الاستقرار والسلامة على المدى الطويل.
"That sounds great. How long does the tour take, and what is the cost?",يبان بهي برشة. قدّاش تدوم الجولة؟ و قدّاش السّوم؟
"It's a four-hour tour, and the price is 120 dinars per person.",هي tour متاع 4 سوايع، والسّوم 120 دينار للواحد.
It looks like our 'louage' is almost full.,يظهرلي اللّواج متاعنا قرّب يتعمّى.
"Yes, finally. I just hope the AC works in this one.",إي، أخيرًا. نتمنّى برك الclim يخدم في هذا.
"Oh, I'm praying for it. I can't take another trip without it.",يا ربّي، راني ندعي باش يصير. ما نجمش نعمل سفرية أخرى بلا بيه.
Peace be with you. Do you have these in a size 42?,تونسية: السلام عليكم. عندك هاذم بنمرة 42؟
"Welcome! Yes, of course. Let me get that for you right away.",مرحبا! إي، بطبيعة. خلّيني نجيبهولك تاو تاو.
So we are agreed. Congratulations on your purchase.,دونك متفاهمين. مبروك عليك الشّرا.
Thank you. I need to go arrange for a truck. Can I come back to pick them up after the noon prayer?,يعطيك الصحّة. لازمني نمشي نتصرّف في كميون. نجم نرجع نهزّهم بعد صلاة الظهر؟
Of course. I'll be here. I'll keep them aside for you with some water. Just find me in the same spot.,بطبيعة. باش نكون هوني. باش نخليهملك على جنب مع شوية ما. تلقاني في نفس البلاصة.
"Excellent. I will see you in a few hours, God willing.",هايل. نشوفك بعد سويّعات، إن شاء الله.
"Ugh, this wind is unbearable! I've got sand in my eyes and my hair.",آش هالريح هاذي ما تتطاقش! الرملة دخلتلي في عينيّ وفي شعري.
"I know, we can't even keep the beach umbrella up. This was a bad idea.",نعرف، حتى شمسيّة البحر ما نجموش نثبّتوها. هاذي كانت فكّرة خايبة.
"Alright, I'm interested. The market is full of different brands. Which ones have you seen give consistently good results?",بااهي، أنا مهتمّ. السوق عامرة بماركات مختلفة. أنهي منهم ريتهم ديما يعطيو نتايج باهية؟
"Based on local feedback and our own tests, Brand X and Brand Y are very reliable. They have proven themselves in our conditions.",حسب feedback المحلّي وتستاتنا احنا، Brand X و Brand Y مضمونين برشة. ثبتو رواحهم في الظروف متاعنا.
"Honestly, sometimes I feel a real sense of dread. What will become of our oasis if this pest wins?",بصراحة، ساعات نحس بخوف بالحق. شنوة باش يولي حال الواحة متاعنا كان تغلب هالآفة؟
"May God not will it. Our grandfathers planted these trees. It feels like we're fighting to save our entire heritage, not just our income.",لا سمح ربي. جدودنا غرّسوا هالشجرات. نحسّو رواحنا نحاربو باش نحافظو على تراثنا الكل، موش كان على مدخولنا.
You're right. It's our history. We have to fight for it.,عندك الحق. هذا تاريخنا. لازمنا نحاربو عليه.
I'm looking at my invoice and I'm a bit confused. Why are the local charges almost as much as the ocean freight?,Tunisian: أنا قاعد نشوف في الفاتورة متاعي ومتلخبط شوية. علاش المصاريف المحلية قراب قدّ الفريت البحري؟
"That's a common question. The ocean freight covers the sea journey. The local charges include terminal handling, documentation, and agent fees at the destination, which can add up.",هذا سؤال يتعاود برشة. الفريت البحري يغطّي السّفرة في البحر. المصاريف المحليّة تشمل handling متاع الترمينال، الوثايق، ومعاليم الوكيل في بلاصة الوصول، وتنجم تتلمّ وتطلع.
So the initial freight rate is just one part of the total cost?,Tunisian: يعني السّوم الأوّلاني متاع الشحن راهو برك جزء من الكلفة الكلّ؟
Correct. We always provide a full breakdown of destination charges so there are no surprises.,صحيح. ديما نقدّمو تفصيل كامل للمصاريف متاع الوجهة باش ما يكونش ثمّة مفاجآت.
My dad called and told me the funniest story about my aunt trying to use a smartphone for the first time.,بابا عيّطلي وحكالي حكاية تضحّك برشة على عمّتي وهي تحاول تستعمل smartphone لأوّل مرّة.
"Oh, I can only imagine! What happened?",Tunisian: أوووه، نتصوّر برك! شنوة صار؟
She tried to 'zoom in' on a printed photo by pinching the paper.,هي جرّبت تعمل 'zoom in' على تصويرة مطبوعة بالّي تقرّص الورقة.
That's hilarious! That reminds me of my grandmother who thinks the TV remote can also turn on the air conditioner.,Tunisian: هذا يضحّك برشة! يفكّرني في جدّتي اللي تحسب التيليكوموند متاع التلفزة تنجم زادة تشعل الكليماتيزور.
"Good evening, madam. I brought the philosophy essays we discussed last time.",مسّاك بالخير، مدام. جبت المقالات متاع الفلسفة اللي حكينا عليهم المرّة اللي فاتت.
"Welcome, Karim, come in. Have you had a chance to think about the different analytical approaches?",مرحبا بيك يا كريم، تفضّل. لقيت وقت بش تفكّر في approches analytiques المختلفة؟
"Yes, but I'm struggling to structure my argument for the dialectical method.",إي، أمّا قاعد نلقى صعوبة باش ننظّم حجّتي على la méthode dialectique.
That's often the trickiest one. Let's outline it on the whiteboard. The key is to build a strong thesis and antithesis before reaching a synthesis.,تواكة غالبًا أصعب وحدة. خلّينا نرسموها على tableau blanc. المفتاح إنّك تبني thèse قويّة و antithèse قويّة قبل ما توصل لـ synthèse.
Good afternoon. I need a quick update. Is crane number 5 at the North Quay operational today?,عشية طيّبة. حاشتي بتحديث سريع. الرافعة نمرة 5 في الكي الشمالي تخدم اليوم؟
"Good afternoon. No, it is currently under scheduled maintenance until 1600. Cranes 4 and 6 are fully operational.",عشيّة طيّبة. لا، توا راهو تحت صيانة مبرمجة حتّى للساعة 16:00. الكرينات 4 و6 خدامين عالاخر.
"Okay, thank you for the information. We will direct our trucks to crane 6 then.",أوكي، مرسي على المعلومة. دونك باش نوجّهو الكميونات متاعنا للكرين 6.
"Alright everyone, settle down. As the proposition, our team will argue that social media has a positive impact on society.",باهي يا جماعة، هدو شوية. بصفتنا الـproposition، الفريق متاعنا باش يبرهن اللي السوشيال ميديا عندها تأثير إيجابي على المجتمع.
"And as the opposition, we will demonstrate the significant negative effects it has on mental health and social cohesion. Let's begin.",وإحنا كفريق المُعارضة، باش نبيّنو التأثيرات السلبيّة الكبيرة اللي يعملها على الصحّة النفسيّة وعلى التماسك الاجتماعي. خلّينا نبدّاو.
Good morning. I have a client who owns a large agricultural plot and wants to know the procedure for having it rezoned to residential.,صباح الخير. عندي حريف يملك أرض فلاحية كبيرة ويحب يعرف شنوّة الإجراءات اللازمة باش تتحوّل الصبغة متاعها من فلاحي لسكني.
"The process is quite complex. It requires submitting a request during the official urban plan revision period, which only happens every few years. The request is then studied by a regional committee.",Tunisian: الإجراءات هاذي معقّدة برشة. يلزم تقديم مطلب خلال الفترة الرسمية متاع مراجعة المخطّط العمراني، والّي ما تصير كان مرّة كلّ كام عام. وبعدها المطلب يتعدّى على لجنة جهويّة باش يدرسوه.
So it's not possible to submit a request at any time?,يعني ما ينجمش الواحد يقدّم demande في أي وقت؟
"No, only during the designated revision window. And approval is not guaranteed.",لا، كان في الفترة المحدّدة للمراجعة برك. والموافقة ما هيش مضمونة.
What kind of fees should I expect when I buy or sell shares?,شنوّة المصاريف والعمولات اللي يلزمني نتوقّعها كي نشري ولا نبيع أكسيونات؟
"There are two main costs: the brokerage fee, which is our commission for executing the trade, and then the tax on any capital gains you make when you sell for a profit.",Tunisian: فمّا زوز مصاريف كبار: معاليم السمسرة،اللّي هي الكوميسيون متاعنا على تنفيذ الصفقة، ومن بعد الضريبة على أي أرباح رأسمالية تعملهم كي تبيع بربح.
"Let me see. It is slightly above the normal range. This relates to your blood sugar, but you must speak with the doctor for a full diagnosis.",خلّيني نشوف. راهو شويّة فوق المعدّل الطبيعي. هذا عندو علاقة بسكّر الدم متاعك، أمّا لازمك تحكي مع الطبيب باش يعملّك تشخيص كامل.
Is the brokerage fee a fixed amount or a percentage?,معلوم السمسرة ثابت ولا بالمية؟
It's a small percentage of the total transaction value. We can provide you with our detailed fee schedule.,تونسية: هي نسبة صغيرة من القيمة الجمليّة متاع transaction. ننجمو نوفّرو لك قائمة مفصّلة بالمعاليم متاعنا.
"Hello, we're a group of five. Is it okay if we take this table and add a chair from that one?",Tunisian: عسلامة، إحنا خمسة. ما فيها باس كان ناخذو الطاولة هاذي ونزيدولها كرسي من الطاولة هذيك؟
No problem at all. Let me bring that chair over for you.,ما فيها حتى مشكل بالكلّ. خلّيني نجيبهولك الكرسي ذاك.
"Thank you, that's very helpful.",يعطيك الصحّة، هذا يعاون برشة.
"Before I transfer any money, what are the essential legal checks I must perform?",قبل ما نحوّل أي فلوس، شنوما التثبّتات القانونيّة الضروريّة اللي لازمني نعملهم؟
"It's critical. You must have a lawyer verify the company's official registration, check their ownership structure, and review any existing major contracts or intellectual property claims. This step protects you from future legal issues.",الموضوع مهمّ برشة. لازمك محامي يتثبّت في السجلّ التجاري الرسمي متاع الشركة، ويفقّد هيكلة الملكيّة متاعها، ويراجع أي عقود كبار موجودة ولا مطالب متاع الملكيّة الفكريّة. الخطوة هاذي تحميك من مشاكل قانونية في المستقبل.
"Goodness, is this machine out of service again?",يا لطيف، المكينة هاذي رجّعت برا الخدمة؟
"It seems so. I've been waiting for ten minutes, and the person before you also had no luck. It's always the same story with this one.",يظهرلي هكّا. عندي عشر دقايق نستنى، واللي قبلك زادة ما كانش عندو الزهر. ديما نفس الحكاية معاه.
"Unbelievable. Well, may God give us patience. I guess we have to find another one.",مش معقول. يا ربي صبّرنا. نحسب يلزمنا نلقاو واحد آخر.
I'm having trouble with this part of the application form. I'm not sure what to write.,عندي مشكل في هالpartie من formulaire متاع الapplication. ما نعرش شنوّة نكتب.
Which section is it? I can help.,أنهي بارتي؟ نجم نعاونك.
It's the field for 'Sponsor in Saudi Arabia'.,هاذي الخانة متاع 'Sponsor in Saudi Arabia'.
You can leave that blank. We will fill in our agency's information there as your official sponsor for the trip.,Tunisian: تنجم تخلّي الخانة هذيك فارغة. واحنا باش نعمّرو غادي معلومات الوكالة متاعنا كسبونسورك الرسمي لسفرتك.
"I want to be sure that all the work, especially the grounding, follows the Tunisian standards exactly. No shortcuts.",نحبّ نتأكّد اللي الخدمة الكلّ، خصوصًا ال mise à la terre، تتّبع النورم التونسيّة بالحرف. ما فماش raccourcis.
"Of course, boss. My reputation is in my work. Everything is done by the book. You can check it yourself.",بطبيعة، chef. سمعتي في خدمتي. كل شي معمول كيما يقول الكتاب. تنجم تتثبّت بنفسك.
"I know, I trust your work. It's just a necessary reminder.",نعرف، نثق في خدمتك. راهو كان تذكير لازم.
"Good morning. The weather is beautiful today, isn't it?",صباح الخير. الجوّ اليوم باهي برشة، موش هكّا؟
Good morning to you. It really is. Perfect weather for a walk.,Tunisian: صباح الخير عليك. بالحقّ. الجوّ باهي برشة للمشي
"Driver, please, a little slower. You're driving very fast.",يا شيفور، بالله سوق على مهلك شوية. راك تسوق بسرعة برشة.
"Don't worry, madam, I know the road. We will arrive safely, God willing.",ما تقلقيش مدام، راني نعرف الطريق. باش نوصلو بالسّلامة إن شاء الله.
Can you briefly explain what the most important days of Hajj will look like?,تنجم تفسّرلي باختصار كيفاش باش يكونو أهمّ نهارات الحجّ؟
"Of course. The pinnacle of Hajj starts on the 8th of the month, when we move to our tents in Mina. The next day is the Day of Arafat, spent in prayer on the plain of Arafat. After sunset, we move to Muzdalifah to stay the night.",بطبيعة. قمّة الحج تبدى نهار 8 من الشهر، وقت اللي نمشيو للخيام متاعنا في منى. نهار لغدوة هو نهار عرفة، نقضّيوه في الصلاة والدعا في عرفات. بعد الغروب نمشيو لمزدلفة ونبيّتو غادي.
That sounds very intense. Is everything organized for us?,تبدو حكاية قوية برشة. كل شي مترتّب لينا؟
"Absolutely. All transportation, tents, and meals for those days are arranged by us. You just need to focus on your worship.",أكيد. كلّ التنقّلات والخيام والماكلة للنهارات هاذم احنا منظّمينهم. ما عليك كان تركّز على عبادتك.
"So if I decide to use it, what is the best way to apply it? Do I spray it on the leaves or mix it in the soil?",كان نقرّر نستعملو، شنيا أحسن طريقة باش نطبّقو؟ نرّشّو على الوراق ولا نخلّطو في التراب؟
"For this particular product, a foliar spray is most effective. You'll want to apply it during key growth stages, like just before flowering, to see the biggest impact.",بالنسبة للبرودوي هاذا بالذات، الرشّ الورقي أكثر حاجة تعطي نتيجة. من الأحسن ترشّو في المراحل المهمّة متاع النموّ، كيف قبل ما يزهّر بشويّة، باش تشوف أكبر مفعول.
And what time of day is best?,و شنوّا أحسن وقت في النهار؟
Definitely early in the morning or late in the evening to avoid the strong sun and allow for maximum absorption.,Tunisian: أكيد بكري في الصباح ولا متأخر في العشية، باش تبعد عالشمس القوية وتخلّي البدن يمتصّ على الآخر.
"Sir, we've completed the physical inspection. There is a discrepancy.",سيدي، كمّلنا المعاينة الميدانية. فمّا عدم تطابق.
A discrepancy? What is the issue?,فمّا اختلاف؟ شنيا المشكلة؟
"Your packing list states 500 boxes of item A, but we only counted 480. However, we found 20 boxes of item B, which is not on the list at all.",Tunisian: الليستة متاع الباكينغ متاعك كاتبة 500 كرتونة من الآرتيكل A، أمّا نحنا عدّينا 480 برك. أمّا زادة لقينا 20 كرتونة من الآرتيكل B واللي ماهوش موجود في الليستة بالكل.
That must be a mistake from the shipper. What are the consequences of this?,هذا لازمها تكون غلطة من عند شركة الشحن. شنوة العواقب متاعها؟
"Good morning. In accordance with the mining code, I am here to formally report the discovery of a potentially new zeolite deposit in our licensed area.",صباح الخير. حسب الcode des mines، جيت باش نقدّم تصريح رسمي على اكتشاف رواسب زيوليت تنجّم تكون جديدة في الpermis متاعنا.
This is a significant report. Please submit your preliminary assay results and a core sample to the National Geological Survey for official classification.,هذا rapport مهمّ برشة. يرحم والديك ابعث النتايج الأوّلية متاع الassay وعيّنة core للهيئة الوطنيّة للمسح الجيولوجي باش يعملولهم تصنيف رسمي.
"If you are selected for this position, what is your vision for the department, and what would be the first change you'd make?",كان يختاروك في هالposte، شنوّة التصوّر متاعك للقسم؟ وشنوّة أوّل حاجة تبدّلها؟
"My vision is to enhance our team's collaborative efficiency. The first thing I would do is implement a shared project management dashboard to improve transparency and workflow. After that, I'd focus on creating a more structured knowledge-sharing system.",Tunisian: التصوّر متاعي هو نطوّر النجاعة متاع الخدمة الجماعية في التيم متاعنا. أوّل حاجة نعملها هي نطبّق dashboard مشترك متاع project management باش نزيد الشفافية ونسهّل الworkflow. من بعد نركّز إنّي نعمل système أكثر منظّم لتبادل المعرفة.
I just want to be sure. Is my file now fully complete? Are all my documents like salary statements and proof of my down payment in order?,نحب نتأكد برك. الدوسي متاعي توّا كامل مكمّل؟ وكلّ أوراقي كيما شهادات الخلاص وما يثبت التسبقة، الكلّهم موجودين وبالترتيب؟
"Yes, I've just done a final review. We have everything we need, and your file is complete and validated for the final step.",إي، توّا عملت آخر مراجعة. عنا كلّ شيّ لازمنا، ودوسيك كامل وڨاليدي للخطوة الأخيرة.
Did your power also go out during the storm last night?,تقصّ عليكم الضوّ زادة البارح وقت العاصفة؟
"Yes, it was out for almost an hour! That thunder was so loud, I'm not surprised it caused a problem.",إي، الضوّ تقصّ قرابة ساعة! ذاك الرعد دوّى برشة، ما نستغربش اللي سبّب مشكل.
Do you work the morning rush hour? I'm trying to figure out if it's worth the traffic.,Tunisian: تخدم في rush متاع الصباح؟ راني نخمّم كان يستاهل الtrafic.
"Yes, but you have to be smart. I only accept rides going out of the city center, never into it. That way you avoid getting stuck.",إي، أمّا يلزمك تكون ذكي. أنا نقبل كان التوصيلات اللي خارجة من وسط المدينة، عمرني ما نقبل اللّي داخلة ليه. هكّاكا ما تتعطّلش.
That's a clever strategy. And what about the evening?,هاذي خطّة ذكيّة برشة. و العشية شنوّة؟
Evenings are all about airport runs or rides to the northern suburbs. That's where the money is.,العشيات كان كورسات للمطار ولا للbanlieue nord. غادي وين الفلوس.
I can't focus at home. Can we meet up to finish the slides?,ما نجمش نركّز في الدار. نجمو نتلاقاو باش نكمّلو السلايدات؟
"Yes, please. How about that café in Lac 2 tomorrow afternoon around three o'clock?",إي، بالله. شنيا رايك في القهوة اللي في Lac 2 غدوة العشية حوالي الثلاثة؟
"Perfect, see you there. Don't forget your laptop.",بارفي، نشوفك غادي. ما تنساش الlaptop متاعك.
"The audit is nearly complete. Before I draft the final report, I'd like to discuss my initial findings with you.",الأوديت قرّب يكمل. قبل ما نكتب الrapport النهائي، نحب نحكي معاك على النتائج الأوّلية اللي خرجولي.
"Thank you, I appreciate the opportunity to discuss it first.",Tunisian: يعطيك الصحة، نقدّر برشة الفرصة باش نحكيو عليه قبل.
"Overall, your inventory accuracy is very high. My main recommendation will be to improve the documentation process for manual stock adjustments.",على العموم، دقّة الجرد عندك عالية برشة. التوصية الرئيسيّة متاعي هي تحسين البروسيس متاع التوثيق للتعديلات اليدويّة على الستوك.
That is a fair point. We can certainly implement a more robust procedure for that. Thank you for the feedback.,ملاحظة وجيهة. نجمو بطبيعة نطبّقو بروسيدور محكم أكثر على الموضوع هذا. يعطيك الصحّة على الfeedback.
Good morning. Let's go over the maintenance schedule for the Adam field. Are we on track with the pumping jacks?,صباح الخير. خلينا نراجعو الplanning متاع الصيانة متاع حقل آدم. ماشيين على الplan كيما يلزم مع البيم بَمبات؟
"Good morning. Mostly, yes. We've completed units 3 and 4, but unit 5 needs a new gearbox. We're waiting for the part.",صباح الخير. في الغالب، إي. كمّلنا الوحدات 3 و4، أمّا الوحدة 5 لازمها جيربوكس جديد. نستناو في القطعة.
"Okay, keep me updated on the delivery. We cannot afford any delays there. What about the rest?",بيه، علّمني بكل جديد في الديليفري. ما نجموش نتحمّلو حتى تأخير غادي. وشنوّة على الباقي؟
"The others are on schedule for next week, God willing.",البقيّة ماشيين على البرنامج للأسبوع الجاي، إن شاء الله.
I see you've specified carbon fiber supports. We typically require traditional materials throughout the entire structure.,نشوفك كاتب دعامات من fibre de carbone. عادةً نفرضو مواد تقليدية في الهيكل الكلّ.
"I understand the concern. However, these reinforcements are for the roof beams and will be completely concealed. They provide superior, long-term stability without altering the building's appearance.",نفهم القلق. أمّا التدعيمات هاذمَا للpoutres متاع السقف وباش يتخبّاو بالكلّ وما يبانوش. يوفّرو استقرار أقوى وعلى المدى الطويل من غير ما يبدّلو في منظر البناية.
"Your point is valid, but the heritage code is very strict. You will need to provide extensive technical justification for this exception.",رايك وجيه، أما الcode متاع patrimoine صارم برشة. باش يلزمك تقدّم تبرير تقني مفصّل وموسّع على هالاستثناء.
I need to run some errands. Should I go now?,لازمني نقضي شويّة قضا. نمشي توّا؟
Are you crazy? The sun is scorching. Wait until after the afternoon prayer when it cools down.,Tunisian: إنت مهبول؟ الشمس تشوي! استنّى لين بعد صلاة العصر كي يبرد الجو.
"Of course, but first, I need to verify your identity. Could you please provide your full date of birth?",بطبيعة، أمّا أوّل حاجة لازمني نتثبّت في هويّتك. تنجم تعطيني تاريخ ازديادك الكامل؟
"Yes, it's the tenth of May, nineteen eighty-two.",إي، راهو نهار عشرة ماي، ألف وتسعمية واثنين وثمانين.
"Thank you. And for the final verification, what is your mother's full maiden name?",يعطيك الصحّة. وللتثبّت الأخير، شنيا الاسم الكامل متاع أمّك قبل ما تتزوّج؟
It is Salma Khemiri.,هي سلمى خميري.
"Hello, please come in. I need to take your blood pressure and weight before you see the doctor.",عسلامة، تفضّل ادخل. حاشتي نقيسلك التنسيو والوزن قبل ما تشوف الطبيب.
"Okay, no problem. Should I take off my jacket?",Tunisian: أوكي، ما فماش مشكل. تحب نحي الجاكيت؟
"Yes, please. And step on the scale for me.",ايه، بالله. واطلعلي على الميزان.
"Hello, I'm looking for Omega-3 capsules. Which brand do you recommend?",عسلامة، نلوّج على كبسولات متاع أوميغا 3. شنية الماركة اللي تنصحني بيها؟
Hello. Both of these brands are very good and have a high concentration. This one is from a local company and is a bit more affordable.,عسلامة. الزوز ماركات هاذم باهيين برشة وتركيزهم عالي. هاذي من شركة محلّية وسومها أرخص شوية.
"Perfect, I'll try the local one then. Thank you.",مريقل، نجرب المحلّي دونك. يعطيك الصحّة.
